Data,Serial,Variante,Canal,On/Off,iLoad 0,iLoad 1,iLoad 2,iLoad 3,iLoad 4,iLoad 5,iLoad 6,iLoad 7,iLoad 8,iLoad 9,iLoad 10,Resultado
"Wed, 23 Aug 2017 11:57:14 GMT",918888888888,NAO EXISTE,Canal 1,0.00171661365311593,0.00352859473787248,2.0042417049408,-7.99703550338745,6.00194883346558,8.00228023529053,9.9994649887085,-9.99393367767334,,-5.99870634078979,-3.9970395565033,-1.9979475736618,Aprovado
"Wed, 23 Aug 2017 12:49:23 GMT",918888888888,NAO EXISTE,Canal 1,0.00171661365311593,0.00267028785310686,2.00347876548767,-7.99646329879761,6.00166273117065,8.00208950042725,9.99956035614014,-9.99278926849365,,-5.99775266647339,-3.99579977989197,-1.99708926677704,Aprovado
"Wed, 23 Aug 2017 12:51:42 GMT",918888888888,NAO EXISTE,Canal 1,0.00181198108475655,0.00286102271638811,2.00347876548767,-7.99636793136597,6.00204420089722,8.00237560272217,9.99975109100342,-9.99317073822021,,-5.99832487106323,-3.99694418907166,-1.99718463420868,Aprovado
"Wed, 23 Aug 2017 12:55:41 GMT",918888888888,NAO EXISTE,Canal 1,0.00171661365311593,0.00267028785310686,2.00357413291931,4.00390577316284,6.00213956832886,8.00218486785889,9.99956035614014,-9.99374294281006,-7.99655866622925,-5.99842023849487,-3.99589514732361,-1.99804294109344,Aprovado
"Wed, 23 Aug 2017 12:58:33 GMT",918888888888,NAO EXISTE,Canal 1,0.000572204531636089,0.000762939394917339,0.000858306826557964,0.000572204531636089,0.000667571963276714,0.000762939394917339,0.000667571963276714,0.00038146969745867,0.000572204531636089,0.000476837129099295,0.000572204531636089,0.000667571963276714,Reprovado
"Wed, 23 Aug 2017 13:00:30 GMT",918888888888,NAO EXISTE,Canal 1,0.000572204531636089,0.00209808326326311,2.00328803062439,4.00323820114136,6.00128126144409,8.00065898895264,10.0005140304565,-9.99402904510498,-7.99751234054565,-5.99899244308472,-3.99646735191345,-1.99766147136688,Aprovado
"Fri, 25 Aug 2017 13:46:15 GMT",1036840275,DCCT-CONF-A,Canal 1,0.0016212462214753,0.00371932960115373,2.0042417049408,4.00400114059448,6.00185346603394,8.00027751922607,9.99889278411865,-9.99507808685303,-7.99474668502808,-5.99803876876831,-3.99694418907166,-1.99661242961884,Aprovado
"Fri, 25 Aug 2017 13:55:25 GMT",1036840284,DCCT-CONF-B,Canal 1,0.00152587878983468,0.00371932960115373,2.0042417049408,4.00371503829956,6.00213956832886,8.00046825408936,9.9999418258667,-9.99450588226318,-7.99570035934448,-5.99670362472534,-3.99694418907166,-1.99708926677704,Aprovado
"Wed, 06 Sep 2017 08:12:17 GMT",1036840366,DCCT-CONF-A,Canal 1,0.000858306826557964,0.000667571963276714,0.000476837129099295,0.000667571963276714,0.000858306826557964,0.000667571963276714,0.000858306826557964,0.000953674258198589,0.000858306826557964,0.000858306826557964,0.000572204531636089,0.000762939394917339,Reprovado
"Wed, 06 Sep 2017 08:25:09 GMT",1036840364,DCCT-CONF-A,Canal 1,0.000953674258198589,0.00276565528474748,2.00300192832947,4.00295209884644,6.00156736373901,8.00237560272217,9.99975109100342,-9.99421977996826,-7.99751234054565,-5.99861097335815,-3.9975163936615,-1.99775683879852,Aprovado
"Wed, 06 Sep 2017 08:32:35 GMT",1036840362,DCCT-CONF-A,Canal 1,0.000858306826557964,0.00209808326326311,2.00366950035095,4.00304746627808,6.00099515914917,8.00208950042725,9.99956035614014,-9.99345684051514,-7.99760770797729,-5.99794340133667,-3.99761176109314,-1.99756610393524,Aprovado
"Wed, 06 Sep 2017 09:07:48 GMT",1036840363,DCCT-CONF-A,Canal 1,0.000953674258198589,0.00209808326326311,2.00357413291931,4.00342893600464,6.00147199630737,8.00180339813232,9.99965572357178,-9.99412441253662,-7.99655866622925,-5.99832487106323,-3.99618124961853,-1.99899661540985,Aprovado
"Wed, 06 Sep 2017 10:11:01 GMT",1036840361,DCCT-CONF-A,Canal 1,0.000953674258198589,0.00104904163163155,0.00114440906327218,0.00104904163163155,0.00114440906327218,0.000953674258198589,0.00104904163163155,0.000858306826557964,0.000953674258198589,0.000953674258198589,0.000953674258198589,0.00104904163163155,Reprovado
"Wed, 06 Sep 2017 10:18:10 GMT",1036840360,DCCT-CONF-A,Canal 1,0.000858306826557964,0.00286102271638811,2.00357413291931,4.00295209884644,6.00118589401245,8.00218486785889,9.99965572357178,-9.99402904510498,-7.99665403366089,-5.99803876876831,-3.99761176109314,-1.99756610393524,Aprovado
"Wed, 06 Sep 2017 10:27:56 GMT",1036840359,DCCT-CONF-A,Canal 1,0.000953674258198589,0.00209808326326311,2.00281119346619,4.00266599655151,6.00099515914917,8.00142192840576,9.9994649887085,-9.9943151473999,-7.99674940109253,-5.99908781051636,-3.99780249595642,-1.99823367595673,Aprovado
"Wed, 06 Sep 2017 10:50:50 GMT",1036840358,DCCT-CONF-A,Canal 1,0.000572204531636089,0.00257492042146623,2.00347876548767,4.00323820114136,6.00137662887573,8.00170803070068,9.99956035614014,-9.99355220794678,-7.99722623825073,-5.99975538253784,-3.99770712852478,-1.99918735027313,Aprovado
"Wed, 06 Sep 2017 10:57:56 GMT",1036840357,DCCT-CONF-A,Canal 1,0.00104904163163155,0.00228881812654436,2.00300192832947,4.00304746627808,6.00185346603394,8.00199413299561,9.99984645843506,-9.99345684051514,-7.99665403366089,-5.99756193161011,-3.99579977989197,-1.99842441082001,Aprovado
